VEL: (-17.232285, -1.8242452, -21.775816) ROT: (-0.15198113, -3.9919336, -0.23506233)
# 2 Sample: 12 Time: 0.045663 POSN: (-5.1985865, 12.083335, 14.056106)
VEL: (24.000618, -3.894501, -10.89283) ROT: (-0.6724599, -4.5240173, -0.26965824)
# 0 Sample: 13 Time: 0.033579 POSN: (-2.77759, 7.2707834, -11.292115)
VEL: (-25.075275, 7.2165813, 15.617283) ROT: (-1.6354454, -4.548961, 3.2468343)
# 1 Sample: 13 Time: 0.033579 POSN: (7.9497375, 10.953221, 5.461088)
VEL: (-17.232285, -2.3147454, -21.775816) ROT: (-0.15198113, -3.9919336, -0.23506233)
# 2 Sample: 13 Time: 0.033579 POSN: (-3.998556, 11.87226, 13.511464)
VEL: (24.000618, -4.3850007, -10.89283) ROT: (-0.6724599, -4.5240173, -0.26965824)
# 0 Sample: 14 Time: 0.032635998 POSN: (-3.6134326, 7.503161, -10.771539)
VEL: (-25.075275, 6.8895817, 15.617283) ROT: (-1.6354454, -4.548961, 3.2468343)
# 1 Sample: 14 Time: 0.032635998 POSN: (7.375328, 10.867888, 4.7352276)
VEL: (-17.232285, -2.6417456, -21.775816) ROT: (-0.15198113, -3.9919336, -0.23506233)
# 2 Sample: 14 Time: 0.032635998 POSN: (-3.1985352, 11.717918, 13.14837)
VEL: (24.000618, -4.7120004, -10.89283) ROT: (-0.6724599, -4.5240173, -0.26965824)
# 0 Sample: 15 Time: 0.033315 POSN: (-4.449275, 7.724639, -10.250962)
VEL: (-25.075275, 6.562582, 15.617283) ROT: (-1.6354454, -4.548961, 3.2468343)
# 1 Sample: 15 Time: 0.033315 POSN: (6.8009186, 10.771655, 4.009367)
VEL: (-17.232285, -2.9687457, -21.775816) ROT: (-0.15198113, -3.9919336, -0.23506233)
# 2 Sample: 15 Time: 0.033315 POSN: (-2.3985145, 11.552676, 12.785275)
VEL: (24.000618, -5.039, -10.89283) ROT: (-0.6724599, -4.5240173, -0.26965824)
# 0 Sample: 16 Time: 0.043126 POSN: (-5.285117, 7.9352164, -9.730386)
VEL: (-25.075275, 6.2355824, 15.617283) ROT: (-1.6354454, -4.548961, 3.2468343)
# 1 Sample: 16 Time: 0.043126 POSN: (6.226509, 10.664522, 3.2835064)
VEL: (-17.232285, -3.2957458, -21.775816) ROT: (-0.15198113, -3.9919336, -0.23506233)
# 2 Sample: 16 Time: 0.043126 POSN: (-1.5984938, 11.376534, 12.422181)
VEL: (24.000618, -5.3659997, -10.89283) ROT: (-0.6724599, -4.5240173, -0.26965824)
# 0 Sample: 17 Time: 0.040487 POSN: (-6.5388803, 8.230646, -8.949521)
VEL: (-25.075275, 5.745083, 15.617283) ROT: (-1.6354454, -4.548961, 3.2468343)
# 1 Sample: 17 Time: 0.040487 POSN: (5.364895, 10.483385, 2.1947155)
VEL: (-17.232285, -3.786246, -21.775816) ROT: (-0.15198113, -3.9919336, -0.23506233)
# 2 Sample: 17 Time: 0.040487 POSN: (-0.3984628, 11.091885, 11.87754)
VEL: (24.000618, -5.856499, -10.89283) ROT: (-0.6724599, -4.5240173, -0.26965824)
# 0 Sample: 18 Time: 0.889964 POSN: (-7.3747225, 8.413974, -8.428945)
VEL: (-25.075275, 5.418083, 15.617283) ROT: (-1.6354454, -4.548961, 3.2468343)
# 1 Sample: 18 Time: 0.889964 POSN: (4.7904854, 10.349002, 1.4688549)
VEL: (-17.232285, -4.113246, -21.775816) ROT: (-0.15198113, -3.9919336, -0.23506233)
# 2 Sample: 18 Time: 0.889964 POSN: (0.40155783, 10.888494, 11.514445)
VEL: (24.000618, -6.183499, -10.89283) ROT: (-0.6724599, -4.5240173, -0.26965824)
# 0 Sample: 19 Time: 1.177877 POSN: (-9.046407, 8.74793, -7.3877916)
VEL: (-25.075275, 4.764084, 15.617283) ROT: (-1.6354454, -4.548961, 3.2468343)
# 1 Sample: 19 Time: 1.177877 POSN: (3.6416664, 10.047535, 0.017133713)
VEL: (-17.232285, -4.7672453, -21.775816) ROT: (-0.15198113, -3.9919336, -0.23506233)
# 2 Sample: 19 Time: 1.177877 POSN: (2.001599, 10.44901, 10.788257)
VEL: (24.000618, -6.837498, -10.89283) ROT: (-0.6724599, -4.5240173, -0.26965824)
# 0 Sample: 20 Time: 0.778821 POSN: (-10.718091, 9.038285, -6.3466387)
VEL: (-25.075275, 4.1100845, 15.617283) ROT: (-1.6354454, -4.548961, 3.2468343)
# 1 Sample: 20 Time: 0.778821 POSN: (2.4928474, 9.702469, -1.4345875)
VEL: (-17.232285, -5.4212446, -21.775816) ROT: (-0.15198113, -3.9919336, -0.23506233)
# 2 Sample: 20 Time: 0.778821 POSN: (3.6016405, 9.965927, 10.062068)
VEL: (24.000618, -7.4914975, -10.89283) ROT: (-0.6724599, -4.5240173, -0.26965824)
# 0 Sample: 21 Time: 0.503422 POSN: (-12.389775, 9.285041, -5.3054857)
VEL: (-25.075275, 3.4560843, 15.617283) ROT: (-1.6354454, -4.548961, 3.2468343)
# 1 Sample: 21 Time: 0.503422 POSN: (1.3440285, 9.313803, -2.8863087)
VEL: (-17.232285, -6.075244, -21.775816) ROT: (-0.15198113, -3.9919336, -0.23506233)
# 2 Sample: 21 Time: 0.503422 POSN: (5.201681, 9.439243, 9.335879)
VEL: (24.000618, -8.145497, -10.89283) ROT: (-0.6724599, -4.5240173, -0.26965824)
# 0 Sample: 22 Time: 0.62964994 POSN: (-14.06146, 9.488196, -4.264333)
VEL: (-25.075275, 2.802084, 15.617283) ROT: (-1.6354454, -4.548961, 3.2468343)
# 1 Sample: 22 Time: 0.62964994 POSN: (0.19520944, 8.8815365, -4.33803)
VEL: (-17.232285, -6.7292433, -21.775816) ROT: (-0.15198113, -3.9919336, -0.23506233)
# 2 Sample: 22 Time: 0.62964994 POSN: (6.8017216, 8.86896, 8.609691)
VEL: (24.000618, -8.799497, -10.89283) ROT: (-0.6724599, -4.5240173, -0.26965824)
# 0 Sample: 23 Time: 0.043725 POSN: (-13.225617, 9.868073, -3.0880659)
VEL: (25.075272, 6.5545044, 18.319572) ROT: (-1.635445, -3.323394, 1.2483885)
# 1 Sample: 23 Time: 0.043725 POSN: (-0.9536096, 8.40567, -5.789751)
VEL: (-17.232285, -7.3832426, -21.775816) ROT: (-0.15198113, -3.9919336, -0.23506233)
# 2 Sample: 23 Time: 0.043725 POSN: (8.401762, 8.255077, 7.883502)
VEL: (24.000618, -9.453496, -10.89283) ROT: (-0.6724599, -4.5240173, -0.26965824)
# 0 Sample: 24 Time: 0.584473 POSN: (-12.389775, 10.0783825, -2.4774134)
VEL: (25.075272, 6.2275047, 18.319572) ROT: (-1.635445, -3.323394, 1.2483885)
# 1 Sample: 24 Time: 0.584473 POSN: (-1.5280191, 8.151387, -6.5156116)
VEL: (-17.232285, -7.7102423, -21.775816) ROT: (-0.15198113, -3.9919336, -0.23506233)
# 2 Sample: 24 Time: 0.584473 POSN: (9.201782, 7.931786, 7.5204077)
VEL: (24.000618, -9.780496, -10.89283) ROT: (-0.6724599, -4.5240173, -0.26965824)
# 0 Sample: 25 Time: 0.43097198 POSN: (-10.849475, 10.49435, -1.2069955)
VEL: (17.192211, 7.2565937, 21.266352) ROT: (-1.5344317, -2.417844, 1.0013978)
# 1 Sample: 25 Time: 0.43097198 POSN: (-2.5454538, 7.582069, -8.016446)
VEL: (-9.349224, -10.04733, -24.722595) ROT: (-0.04990601, -3.076862, -0.4846505)
# 2 Sample: 25 Time: 0.43097198 POSN: (10.801823, 7.252503, 6.794219)
VEL: (24.000618, -10.434495, -10.89283) ROT: (-0.6724599, -4.5240173, -0.26965824)
# 0 Sample: 26 Time: 1.006001 POSN: (-9.703326, 10.950873, 0.21076131)
VEL: (17.192211, 6.6025944, 21.266352) ROT: (-1.5344317, -2.417844, 1.0013978)
# 1 Sample: 26 Time: 1.006001 POSN: (-3.1687353, 6.884997, -9.66462)
VEL: (-9.349224, -10.701329, -24.722595) ROT: (-0.04990601, -3.076862, -0.4846505)
# 2 Sample: 26 Time: 1.006001 POSN: (12.401863, 6.5296197, 6.0680304)
VEL: (24.000618, -11.088494, -10.89283) ROT: (-0.6724599, -4.5240173, -0.26965824)
# 0 Sample: 27 Time: 1.173083 POSN: (-8.557178, 11.363796, 1.6285181)
VEL: (17.192211, 5.948595, 21.266352) ROT: (-1.5344317, -2.417844, 1.0013978)
# 1 Sample: 27 Time: 1.173083 POSN: (-3.7920167, 6.144325, -11.312795)
VEL: (-9.349224, -11.355329, -24.722595) ROT: (-0.04990601, -3.076862, -0.4846505)
# 2 Sample: 27 Time: 1.173083 POSN: (14.001904, 5.763137, 5.3418417)
VEL: (24.000618, -11.742494, -10.89283) ROT: (-0.6724599, -4.5240173, -0.26965824)
# 0 Sample: 28 Time: 0.78709596 POSN: (-7.4110303, 11.73312, 3.0462751)
VEL: (17.192211, 5.2945957, 21.266352) ROT: (-1.5344317, -2.417844, 1.0013978)
# 1 Sample: 28 Time: 0.78709596 POSN: (-4.4152985, 5.360053, -12.960969)
